iter	Passed	Remaining
0	1	120
1	1	89
2	2	78
3	2	70
4	3	66
5	4	66
6	4	63
7	5	61
8	5	59
9	6	58
10	7	57
11	7	56
12	8	55
13	8	54
14	9	53
15	10	53
16	10	52
17	11	51
18	11	50
19	12	50
20	13	48
21	13	48
22	14	47
23	14	47
24	15	46
25	16	45
26	16	45
27	17	44
28	17	43
29	18	42
30	18	42
31	19	41
32	20	40
33	20	40
34	21	39
35	21	38
36	22	38
37	23	37
38	23	36
39	24	36
40	24	35
41	24	34
42	25	33
43	25	32
44	26	32
45	26	31
46	27	30
47	27	30
48	28	29
49	28	28
50	29	28
51	29	27
52	30	27
53	30	26
54	31	25
55	31	24
56	32	24
57	32	23
58	33	23
59	33	22
60	34	21
61	34	21
62	35	20
63	35	20
64	36	19
65	36	18
66	37	18
67	37	17
68	38	17
69	38	16
70	39	15
71	39	15
72	40	14
73	40	14
74	41	13
75	41	13
76	42	12
77	42	12
78	43	11
79	43	10
80	44	10
81	44	9
82	45	9
83	45	8
84	46	8
85	46	7
86	47	7
87	47	6
88	48	5
89	48	5
90	49	4
91	49	4
92	50	3
93	50	3
94	51	2
95	51	2
96	52	1
97	52	1
98	53	0
99	53	0
